nombre,cod_prov,cod_depto,cod_loc,cod_bahra,tipo_bahra,lat,lon
CASCADAS,06,203,010,06203010000,LS,-37.2899615825436,-62.2971682457111
CORONEL SUAREZ,06,203,020,06203020000,LS,-37.4596224938744,-61.9317530113989
CURA MALAL,06,203,030,06203030000,LS,-37.4843018699441,-62.10361959864
D'ORBIGNY,06,203,040,06203040000,LS,-37.6772293087783,-61.7052608546557
HUANGUELEN,06,203,050,06203050000,LS,-37.0622288209544,-61.9297529087938
PASMAN,06,203,060,06203060000,LS,-37.2234351404125,-62.1602259170472
SAN JOSE,06,203,070,06203070000,LS,-37.5077480260109,-61.9211473085303
SANTA MARIA,06,203,080,06203080000,LS,-37.5565856774998,-61.872634363442
SANTA TRINIDAD,06,203,090,06203090000,LS,-37.4891036510029,-61.9252761219778
VILLA LA ARCADIA,06,203,100,06203100000,LC,-38.1345025284944,-61.7885553500206
CASTILLA,06,210,010,06210010000,LS,-34.6131247014799,-59.9005194580559
CHACABUCO,06,210,020,06210020000,LS,-34.6429843999409,-60.4701843504346
LOS ANGELES,06,210,030,06210030000,LS,-34.4575064000002,-60.1801845132051
O'HIGGINS,06,210,040,06210040000,LS,-34.5854707868254,-60.6986325840689
RAWSON,06,210,050,06210050000,LS,-34.6086374337309,-60.0677106761007
BARRIO LOMAS ALTAS,06,217,003,06217003000,LS,-35.5739889229165,-58.0680436475186
CHASCOMUS,06,217,010,06217010001,E,-35.5743009068199,-58.0005532563664
BARRIO SAN CAYETANO,06,217,010,06217010003,E,-35.5466815668936,-58.0013258753826
LAGUNA VITEL,06,217,015,06217015000,LS,-35.5404169288645,-58.1349194201315
MANUEL J. COBO,06,217,020,06217020000,LS,-35.8748248734085,-57.8964226760932
VILLA PARQUE GIRADO,06,217,030,06217030000,LS,-35.6282696386352,-58.0145524400059
BENITEZ,06,224,005,06224005000,LC,-34.9660329017519,-60.1236385563996
CHIVILCOY,06,224,010,06224010000,LS,-34.8980163772726,-60.0188841030321
EMILIO AYARZA,06,224,020,06224020000,LS,-34.746060108407,-60.0392314192743
GOROSTIAGA,06,224,030,06224030000,LS,-34.839127302807,-59.8646671984292
LA RICA,06,224,040,06224040000,LS,-34.9739189538858,-59.8639302070489
MOQUEHUA,06,224,050,06224050000,LS,-35.0926582854313,-59.7745302971612
RAMON BIAUS,06,224,060,06224060000,LS,-35.0858455213162,-59.9236682591744
SAN SEBASTIAN,06,224,070,06224070000,LS,-34.9443783815263,-59.7018597369347
ANDANT,06,231,010,06231010000,LS,-36.5640579804658,-62.1324009778233
ARBOLEDAS,06,231,020,06231020000,LS,-36.8827708539235,-61.4878179060517
DAIREAUX,06,231,030,06231030000,LS,-36.6001749213746,-61.7450132654369
LA LARGA,06,231,040,06231040000,LS,-36.6749256386405,-61.9291952273289
SALAZAR,06,231,060,06231060000,LS,-36.307117163487,-62.2003365899
DOLORES,06,238,010,06238010000,LS,-36.3161215739926,-57.6752657333964
SEVIGNE,06,238,020,06238020000,LS,-36.2067284269712,-57.7413707296745
DIQUE N° 1,06,245,010,06245010001,E,-34.8758485548313,-57.9336298993983
ENSENADA,06,245,010,06245010002,E,-34.8679770208454,-57.9214379246659
ISLA SANTIAGO (OESTE),06,245,010,06245010003,E,-34.8370461990756,-57.8999620408998
PUNTA LARA,06,245,010,06245010004,E,-34.8346689394776,-58.0010481870988
VILLA CATELA,06,245,010,06245010005,E,-34.884600148052,-57.9511290255284
BELEN DE ESCOBAR,06,252,010,06252010001,E,-34.3516704130246,-58.7832526742638
EL CAZADOR,06,252,010,06252010002,E,-34.3034904902207,-58.7811274560113
GARIN,06,252,010,06252010003,E,-34.428785229178,-58.7361732596546
INGENIERO MASCHWITZ,06,252,010,06252010004,E,-34.3790006332322,-58.7303342412363
LOMA VERDE,06,252,010,06252010005,E,-34.3285234890863,-58.8506997728362
MATHEU,06,252,010,06252010006,E,-34.3688779666182,-58.8402291878847
MAQUINISTA F. SAVIO ESTE,06,252,010,06252010007,E,-34.3964888336318,-58.7629458829717
CANNING,06,260,010,06260010001,E,-34.8849791351051,-58.4778099372334
EL JAGÜEL,06,260,010,06260010002,E,-34.8304505041023,-58.494869419897
LUIS GUILLON,06,260,010,06260010003,E,-34.800196435999,-58.4530964052639
MONTE GRANDE,06,260,010,06260010004,E,-34.8191368630736,-58.4726947603508
9 DE ABRIL,06,260,010,06260010005,E,-34.7565075768115,-58.4902923509723
ARROYO DE LA CRUZ,06,266,010,06266010000,LS,-34.3363786908945,-59.1094149717708
CAPILLA DEL SEÑOR,06,266,020,06266020000,LS,-34.2912108668035,-59.1015232724441
DIEGO GAYNOR,06,266,030,06266030000,LS,-34.288973975279,-59.222781222713
